,Team,Season,Record,Loss Streaks in season,Finals Stats,Phil Jackson Achieved
166,Kings,1978-79,48-34,7,CSF Exit,False
167,Nets,1978-79,37-45,10,FR Exit,False
168,SuperSonics,1978-79,52-30,4,Champ,False
169,Hawks,1978-79,46-36,9,CSF Exit,False
170,Nets,1979-80,34-48,11,Not Qualified,False
171,Jazz,1979-80,24-58,14,Not Qualified,False
172,Hawks,1979-80,50-32,6,CSF Exit,False
173,Spurs,1979-80,41-41,11,FR Exit,False
174,Pistons,1979-80,16-66,11,Not Qualified,False
175,Kings,1979-80,47-35,8,FR Exit,False
176,Clippers,1979-80,35-47,13,Not Qualified,False
177,Cavaliers,1979-80,37-45,7,Not Qualified,False
178,Pacers,1979-80,37-45,11,Not Qualified,False
179,Bulls,1979-80,30-52,14,Not Qualified,False
180,Suns,1979-80,55-27,6,CSF Exit,True
181,Lakers,1979-80,60-22,4,Champ,True
182,Rockets,1979-80,41-41,10,CSF Exit,False
183,76ers,1979-80,59-23,7,Runner Up,True
184,Knicks,1979-80,39-43,9,Runner Up,False
185,SuperSonics,1979-80,56-26,6,CF Exit,True
186,Bucks,1979-80,49-33,9,CSF Exit,False
187,Nuggets,1979-80,30-52,15,Not Qualified,False
188,Bullets,1979-80,39-43,12,FR Exit,False
189,Warriors,1979-80,24-58,17,Not Qualified,False
190,Celtics,1979-80,61-21,3,CF Exit,True
191,Trail Blazers,1979-80,38-44,12,FR Exit,False
192,Jazz,1980-81,28-54,12,Not Qualified,False
193,Pacers,1980-81,44-38,10,FR Exit,False
194,Warriors,1980-81,39-43,12,Not Qualified,False
195,Spurs,1980-81,52-30,9,CSF Exit,False
196,Mavericks,1980-81,15-67,11,Not Qualified,False
197,Hawks,1980-81,31-51,13,Not Qualified,False
198,Kings,1980-81,40-42,14,CF Exit,False
199,SuperSonics,1980-81,34-48,12,Not Qualified,False
200,Nets,1980-81,24-58,10,Not Qualified,False
201,Lakers,1980-81,54-28,5,FR Exit,False
202,Nuggets,1980-81,37-45,11,Not Qualified,False
203,Knicks,1980-81,50-32,9,FR Exit,False
204,Bullets,1980-81,39-43,11,Not Qualified,False
205,Pistons,1980-81,21-61,13,Not Qualified,False
206,Bulls,1980-81,45-37,8,CSF Exit,False
207,Trail Blazers,1980-81,45-37,10,FR Exit,False
208,Celtics,1980-81,62-20,1,Champ,True
209,Bucks,1980-81,60-22,4,CSF Exit,True
210,Cavaliers,1980-81,28-54,10,Not Qualified,False
211,76ers,1980-81,62-20,3,Runner Up,True
212,Rockets,1980-81,40-42,12,Runner Up,False
213,Clippers,1980-81,36-46,11,Not Qualified,False
214,Suns,1980-81,57-25,7,CSF Exit,True
215,Rockets,1981-82,46-36,7,FR Exit,False
216,Knicks,1981-82,33-49,14,Not Qualified,False
217,Hawks,1981-82,42-40,9,FR Exit,False
218,Jazz,1981-82,25-57,11,Not Qualified,False
219,Kings,1981-82,30-52,13,Not Qualified,False
220,Bucks,1981-82,55-27,7,CSF Exit,True
221,Nuggets,1981-82,46-36,7,FR Exit,False
222,Clippers,1981-82,17-65,10,Not Qualified,False
223,Pistons,1981-82,39-43,9,Not Qualified,False
224,Bullets,1981-82,43-39,11,CSF Exit,False
225,Warriors,1981-82,45-37,9,Not Qualified,False
226,76ers,1981-82,58-24,7,Runner Up,True
227,Suns,1981-82,46-36,8,CSF Exit,False
228,Pacers,1981-82,35-47,13,Not Qualified,False
229,Cavaliers,1981-82,15-67,9,Not Qualified,False
230,Bulls,1981-82,34-48,11,Not Qualified,False
231,Mavericks,1981-82,28-54,15,Not Qualified,False
232,Spurs,1981-82,48-34,9,CF Exit,False
233,SuperSonics,1981-82,52-30,7,CSF Exit,True
234,Nets,1981-82,44-38,11,FR Exit,False
235,Lakers,1981-82,57-25,6,Champ,True
236,Celtics,1981-82,63-19,2,CF Exit,True
237,Trail Blazers,1981-82,42-40,12,Not Qualified,False
238,Bucks,1982-83,51-31,6,CF Exit,False
239,Clippers,1982-83,25-57,10,Not Qualified,False
240,Celtics,1982-83,56-26,6,CSF Exit,True
241,76ers,1982-83,65-17,2,Champ,True
242,SuperSonics,1982-83,48-34,9,FR Exit,False
243,Knicks,1982-83,44-38,8,CSF Exit,False
244,Bulls,1982-83,28-54,13,Not Qualified,False
245,Pistons,1982-83,37-45,15,Not Qualified,False
246,Warriors,1982-83,30-52,10,Not Qualified,False
247,Rockets,1982-83,14-68,14,Not Qualified,False
248,Nets,1982-83,49-33,8,FR Exit,True
249,Bullets,1982-83,42-40,7,Not Qualified,False
250,Trail Blazers,1982-83,46-36,9,CSF Exit,False
251,Kings,1982-83,45-37,8,CSF Exit,False
252,Cavaliers,1982-83,23-59,14,Not Qualified,False
253,Nuggets,1982-83,45-37,10,CSF Exit,False
254,Hawks,1982-83,43-39,11,FR Exit,False
255,Mavericks,1982-83,38-44,12,Not Qualified,False
256,Suns,1982-83,53-29,4,CSF Exit,True
257,Jazz,1982-83,30-52,11,Not Qualified,False
258,Lakers,1982-83,58-24,4,Runner Up,True
259,Spurs,1982-83,53-29,7,CF Exit,False
260,Pacers,1982-83,20-62,12,Not Qualified,False
261,Bucks,1983-84,50-32,9,CF Exit,False
262,Suns,1983-84,41-41,11,CF Exit,False
263,Warriors,1983-84,37-45,11,Not Qualified,False
264,Celtics,1983-84,62-20,4,Champ,True
265,Rockets,1983-84,29-53,14,Not Qualified,False
266,76ers,1983-84,52-30,7,FR Exit,False
267,Hawks,1983-84,40-42,9,FR Exit,False
268,Nuggets,1983-84,38-44,10,FR Exit,False
269,Spurs,1983-84,37-45,11,Not Qualified,False
270,Nets,1983-84,45-37,10,CSF Exit,False
271,Bulls,1983-84,27-55,11,Not Qualified,False
272,Knicks,1983-84,47-35,8,CSF Exit,False
273,Clippers,1983-84,30-52,13,Not Qualified,False
274,Trail Blazers,1983-84,48-34,7,FR Exit,False
275,Pacers,1983-84,26-56,12,Not Qualified,False
276,Kings,1983-84,38-44,12,FR Exit,False
277,Lakers,1983-84,54-28,7,Runner Up,True
278,SuperSonics,1983-84,42-40,12,FR Exit,False
279,Cavaliers,1983-84,28-54,11,Not Qualified,False
280,Mavericks,1983-84,43-39,6,CSF Exit,False
281,Bullets,1983-84,35-47,11,FR Exit,False
282,Jazz,1983-84,45-37,11,CSF Exit,False
283,Pistons,1983-84,49-33,8,FR Exit,False
284,Nuggets,1984-85,52-30,7,CF Exit,False
285,Lakers,1984-85,62-20,4,Champ,True
286,Celtics,1984-85,63-19,2,Runner Up,True
287,Warriors,1984-85,22-60,14,Not Qualified,False
288,Knicks,1984-85,24-58,11,Not Qualified,False
289,SuperSonics,1984-85,31-51,15,Not Qualified,False
290,Spurs,1984-85,41-41,7,FR Exit,False
291,Kings,1984-85,31-51,15,Not Qualified,False
292,76ers,1984-85,58-24,3,CF Exit,True
293,Suns,1984-85,36-46,12,FR Exit,False
294,Hawks,1984-85,34-48,13,Not Qualified,False
295,Jazz,1984-85,41-41,8,CSF Exit,False
296,Pacers,1984-85,22-60,12,Not Qualified,False
297,Mavericks,1984-85,44-38,13,FR Exit,False
298,Clippers,1984-85,31-51,10,Not Qualified,False
299,Cavaliers,1984-85,36-46,9,FR Exit,False
300,Trail Blazers,1984-85,42-40,10,CSF Exit,False
301,Bucks,1984-85,59-23,7,CSF Exit,True
302,Bullets,1984-85,40-42,11,FR Exit,False
303,Pistons,1984-85,46-36,9,CSF Exit,False
304,Bulls,1984-85,38-44,12,FR Exit,False
305,Rockets,1984-85,48-34,11,FR Exit,False
306,Nets,1984-85,42-40,12,FR Exit,False
307,Warriors,1985-86,30-52,12,Not Qualified,False
308,Celtics,1985-86,67-15,2,Champ,True
309,Mavericks,1985-86,44-38,8,CSF Exit,False
310,Suns,1985-86,32-50,11,Not Qualified,False
311,Kings,1985-86,37-45,15,FR Exit,False
312,Bucks,1985-86,57-25,6,CF Exit,True
313,Pistons,1985-86,46-36,7,FR Exit,False
314,Spurs,1985-86,35-47,11,FR Exit,False
315,SuperSonics,1985-86,31-51,14,Not Qualified,False
